Time_s,Hour,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,62,42.8268,-81.1437,0.14,BS_203,19.87,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,63,44.3058,-76.4943,0.18,BS_250,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,64,43.3761,-79.9679,0.62,BS_106,18.4,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,65,43.0358,-81.1782,0.11,BS_244,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,66,42.9469,-81.246,0.66,BS_719,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,67,43.3983,-79.7765,0.42,BS_506,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,68,43.3547,-79.811,0.86,BS_509,19.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,69,43.7284,-79.4661,0.65,BS_159,19.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,70,42.7004,-81.3852,0.99,BS_615,19.95,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,71,44.3099,-76.6781,0.81,BS_222,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,73,43.3994,-79.9441,0.47,BS_110,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,74,43.4322,-79.8834,3.76,BS_117,19.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,75,43.3874,-79.818,0.66,BS_516,19.81,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,76,43.6915,-79.4776,0.91,BS_168,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,77,42.9434,-81.1054,0.77,BS_559,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,78,42.9126,-79.9724,3.56,BS_378,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,79,43.2121,-79.8112,2.18,BS_10,18.98,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,80,45.2726,-75.7237,0.14,BS_45,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,81,46.6996,-81.0213,0.33,BS_678,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,82,45.2334,-75.7939,0.49,BS_44,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,83,43.1664,-80.0755,0.65,BS_583,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,84,45.3226,-75.8736,0.11,BS_39,19.62,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,85,45.3097,-75.5046,0.86,BS_194,99.1,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,86,43.2788,-79.9164,0.17,BS_146,18.42,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,87,45.2545,-76.0129,0.66,BS_458,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,88,42.9842,-81.2514,0.88,BS_709,19.51,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,89,43.7262,-79.3719,0.52,BS_479,18.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,90,42.8767,-81.2594,2.18,BS_718,19.14,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,91,42.8669,-79.7299,0.18,BS_379,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,92,42.9963,-81.4178,0.31,BS_59,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,94,43.3613,-79.8251,0.73,BS_516,19.71,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,95,43.8279,-79.2722,0.31,BS_740,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,96,43.6922,-79.5188,0.75,BS_162,18.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,97,43.2168,-79.9115,3.94,BS_155,19.42,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,98,44.3633,-76.3798,0.42,BS_80,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,99,43.8295,-79.4715,0.3,BS_404,19.78,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,100,44.489,-76.5499,3.78,BS_220,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,101,43.4036,-79.7811,0.88,BS_506,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,102,43.722,-79.5848,1.0,BS_651,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,103,43.6711,-79.6453,0.96,BS_334,19.88,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,105,45.4571,-75.6769,0.96,BS_633,19.32,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,106,42.8956,-80.0215,0.68,BS_289,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,107,45.4322,-75.4449,0.92,BS_661,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,108,43.2948,-79.9828,3.14,BS_150,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,109,45.3096,-75.6594,4.41,BS_196,19.81,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,110,43.099,-79.699,0.88,BS_323,19.57,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,111,43.5912,-79.5184,0.82,BS_348,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,112,43.7271,-79.3531,4.3,BS_479,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,113,45.4411,-75.5249,0.98,BS_279,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,114,44.2942,-76.3551,0.93,BS_600,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,115,43.2294,-79.7271,0.74,BS_2,19.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,116,43.3136,-79.8485,0.82,BS_112,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,117,46.457,-81.3202,0.13,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-066-003,300.0,Fully Served,LEO
0,0.0,0.0,118,43.6036,-79.4928,3.72,BS_173,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,119,44.5152,-76.4991,2.4,BS_69,19.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,120,43.6717,-79.4722,0.38,BS_168,19.15,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,121,46.674,-80.8364,0.72,BS_674,19.9,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,122,43.1677,-79.8561,0.12,BS_5,19.24,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,124,44.2139,-76.4228,0.54,BS_594,19.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,125,45.4255,-75.6138,0.71,BS_642,19.62,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,126,44.2762,-76.5487,0.16,BS_263,19.96,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,127,43.0161,-81.613,0.7,BS_457,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,128,44.2076,-76.3434,0.74,BS_597,19.91,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,129,45.3913,-75.7723,0.17,BS_630,19.75,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,130,43.1527,-79.8416,0.47,BS_1,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,131,45.3708,-75.6667,2.01,BS_634,19.29,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,132,43.2291,-79.9375,3.5,BS_149,19.74,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,133,42.7469,-81.1273,0.14,BS_215,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,134,43.6561,-79.5303,0.89,BS_342,18.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,135,43.3785,-80.2327,0.31,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-048-007,300.0,Fully Served,LEO
0,0.0,0.0,137,43.6345,-79.6265,0.63,BS_341,19.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,138,45.3207,-75.7797,0.13,BS_41,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,139,45.1789,-75.6623,0.78,BS_692,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,140,43.6199,-79.5648,0.34,BS_343,19.76,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,141,43.1306,-79.8192,0.58,BS_1,18.29,Fully Served,None,0.0,N/A,TN
